Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2026-05-04 (Price: 37.82)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 37.82), 0.0% below",0 days,37.0,No Information,No Information,No Information,No Information,No Information,4.94% above/0.0% below/0.0% below,12.24%/0.47%/5.34%,"11.07%, 36.03%",1.3 month/6 days/16 days,2026-06-29/2026-05-12/2026-05-27,12.63%,0.87%,11.76%,0.41,0.11,39.9606/39.8396/43.71/126.5/No Next Fib Ext/No Next Fib Ext/42.82,32.66/No Horizontal Support/36.9076/25.5985/No stop loss/No stop loss/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2026-05-04 (Price: 80.22)",No Exit Yet,"0.0%, 0 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 80.22), 0.0% below",0 days,79.31,No Information,No Information,No Information,No Information,No Information,22.1% above/0.0% below/0.0% below,9.22%/1.3%/5.01%,"19.0%, 30.91%",3.2 months/6 days/23 days,2026-09-20/2026-05-12/2026-06-06,18.11%,11.37%,6.74%,0.36,0.57,82.033/84.239/81.63/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,60.35/24.32/73.041/66.9303/68.81/60.2924/66.64,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
OSCILLATOR DELTA,"USDCHF=X, Long, 2026-05-04 (Price: 0.7811)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 17","Daily, is Confirmed on 2026-05-04",No Cancellation Possible,"2026-05-04 (Price: 0.7811), 0.0% below",0 days,0.7812,No Information,No Information,No Information,No Information,No Information,No Information,2.33%/0.05%/0.78%,"0.0%, 1.59%",28 days/3 days/11 days,2026-06-13/2026-05-08/2026-05-19,6.1%,-2.27%,8.37%,0.85,-0.94,0.7979/0.7872/0.82/1.0105/1.3738/1.5145/0.79,No Recent Minima/0.7787/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-05-03 (Price: 268.26)",No Exit Yet,"1.41%, 1 day","86.96%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 272.05), 1.41% above",1 day,263.425,No Information,No Information,No Information,No Information,No Information,8.58% above/1.41% above/1.41% above,22.98%/2.35%/9.73%,"25.73%, 54.83%",1.1 year/28 days/3.8 months,2027-11-27/2026-06-12/2026-10-15,9.44%,15.49%,-6.05%,0.26,0.79,290.6329/294.3617/274.06/No Horizontal Resistance/317.6152/339.3352/No EMA 200 Target,198.79/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/227.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"RINF, Long, 2026-05-03 (Price: 32.56)",No Exit Yet,"0.18%, 1 day","88.89%, Past 10 years, 9","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 32.62), 0.18% above",1 day,32.25,No Information,No Information,No Information,No Information,No Information,1.12% above/0.63% above/0.18% above,4.91%/1.48%/3.43%,"20.02%, 29.23%",10.7 months/1.2 month/5.6 months,2027-08-10/2026-06-24/2027-01-01,-0.08%,-1.03%,0.95%,-0.17,-0.46,33.1168/33.6768/34.71/35.1525/41.8158/48.2716/No EMA 200 Target,31.79/28.7133/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"GRANULES.NS, Long, 2026-05-03 (Price: 701.0)",No Exit Yet,"0.34%, 1 day","75.0%, Past 10 years, 32","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 703.4), 0.34% above",1 day,690.0,No Information,No Information,No Information,No Information,No Information,2.02% above/0.34% above/0.34% above,47.31%/2.41%/12.05%,"22.94%, 56.91%",8.4 months/1.2 month/2.3 months,2027-05-03/2026-06-24/2026-08-10,16.87%,21.87%,-5.0%,0.53,0.95,852.6964/785.4705/1038.26/No Horizontal Resistance/732.8952/884.591/No EMA 200 Target,562.2/229.525/696.635/643.2768/No F-Track Level/No F-Track Level/558.35,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"PPL.TO, Long, 2026-05-03 (Price: 63.2)",No Exit Yet,"0.32%, 1 day","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 63.4), 0.32% above",1 day,59.37,No Information,No Information,No Information,No Information,No Information,6.93% above/0.32% above/0.32% above,10.91%/2.92%/5.95%,"31.85%, 56.46%",2.3 years/1.2 month/7.5 months,2029-08-12/2026-06-24/2027-03-24,2.86%,4.71%,-1.85%,0.08,0.23,66.8846/66.9604/65.2/No Horizontal Resistance/65.6559/68.3455/No EMA 200 Target,58.17/37.49/56.5867/51.3443/No F-Track Level/No F-Track Level/55.41,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-05-03 (Price: 5.72)",No Exit Yet,"1.4%, 1 day","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 5.8), 1.4% above",1 day,5.59,No Information,No Information,No Information,No Information,No Information,4.69% above/1.4% above/1.4% above,24.31%/1.96%/8.57%,"-0.0%, 22.1%",3.3 months/1.2 month/1.6 month,2026-09-23/2026-06-24/2026-07-11,11.13%,7.15%,3.98%,0.58,0.37,6.2171/6.2102/6.42/6.825/7.4565/8.4213/No EMA 200 Target,5.35/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.67,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2026-05-01 (Price: 383.22)",No Exit Yet,"-0.93%, 3 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 379.64), 0.93% below",3 days,378.07,No Information,No Information,No Information,No Information,No Information,0.93% below/0.93% below/0.93% below,6.52%/0.12%/4.08%,"-0.0%, 25.37%",2.6 months/4 days/26 days,2026-08-21/2026-05-06/2026-06-07,16.74%,20.22%,-3.48%,0.44,1.05,No Target/398.8554/567.19/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,273.14/84.51/322.8294/285.4807/No F-Track Level/No F-Track Level/281.3,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-05-01 (Price: 5.72)",No Exit Yet,"1.4%, 3 days","91.67%, Past 4 years, 36","Daily, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 5.8), 1.4% above",3 days,5.65,No Information,No Information,No Information,No Information,No Information,2.11% above/1.4% above/1.4% above,6.01%/0.46%/3.08%,"6.51%, 16.22%",8.3 months/20 days/1.4 month,2027-04-26/2026-05-29/2026-06-30,14.93%,2.66%,12.27%,0.4,0.14,5.8647/5.8962/5.77/6.825/7.4565/8.4213/No EMA 200 Target,5.53/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.67,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
